class,Q,A
BeastKillsPlayerSequenceAnimator,When is the OnRespawnClicked method called?,The OnRespawnClicked method is called by the DeathRespawnManager when the player clicks on the respawn button.
BeastKillsPlayerSequenceAnimator,What does the StartSequence method do?,The StartSequence method activates the animation sequence and sets the director's position and rotation to the player's position and rotation.
BeastKillsPlayerSequenceAnimator,What does the OnRespawnClicked method do?,The OnRespawnClicked method deactivates the animation sequence.
BeastKillsPlayerSequenceAnimator,What is the name of the PlayableDirector component that is responsible for playing the animation sequence?,director
BeastKillsPlayerSequenceAnimator,What is the name of the method that is called when the player is killed?,StartSequence
BeastKillsPlayerSequenceAnimator.cs,what is the name of the PlayableDirector used to control the animation clip?," ```csharp
public PlayableDirector director;
``` "
BeastKillsPlayerSequenceAnimator.cs,What is the name of the function that activates the animation clip and sets the director position and rotation?," ```csharp
public void StartSequence(Vector3 position, Quaternion rotation)
``` "
BeastKillsPlayerSequenceAnimator.cs,what is the code to set the director position and rotation?," ```csharp
director.transform.position = position;
director.transform.rotation = rotation;
``` "
BeastKillsPlayerSequenceAnimator.cs,What is the code used to activate the director?," ```csharp
director.gameObject.SetActive(true);
``` "
BeastKillsPlayerSequenceAnimator.cs,What is the name of the function that deactivates the animation clip?," ```csharp
public void OnRespawnClicked()
``` "
BeastKillsPlayerSequenceAnimator.cs,What is the code used to deactivate the director?," ```csharp
director.gameObject.SetActive(false);
``` "
BeastKillsPlayerSequenceAnimator.cs,What is the code used to play the animation clip?," ```csharp
director.Play();
``` "
BeastKillsPlayerSequenceAnimator.cs,where is the StartSequence function called from?," ```csharp
called by DeathRespawnManager when the player is killed
``` "
BeastKillsPlayerSequenceAnimator.cs,where is the OnRespawnClicked function called from?," ```csharp
called by DeathRespawnManager when the player clicks on the respawn button
``` "
BeastKillsPlayerSequenceAnimator.cs,What is the type of the director variable?," ```csharp
public PlayableDirector director;
``` "
BeastManager.cs,What does BeastManager.cs actually do?,BeastManager.cs is the main controller of the beast. It manages the beast's state and transitions between states.
BeastManager.cs,What design pattern is BeastManager.cs implementing?,"BeastManager.cs implements the Singleton design pattern, ensuring there is only one instance of the BeastManager object in the scene."
BeastManager.cs,What is BeastManager.State?,BeastManager.State is an enum that contains all possible states of the beast. Each child class of BeastState.cs must have one of these states.
BeastManager.cs,What are the different states defined in BeastManager.State?,"The different states in BeastManager.State are Sleep, OnTarget, Roaming, RoamingOnTarget, Escaping, and Killing."
BeastManager.cs,What is the purpose of the _sleepState variable in BeastManager.cs?,"The _sleepState variable is an instance of the BeastStateSleep class, which represents the beast's sleep state. It manages the behavior and transitions related to the sleep state."
BeastManager.cs,What is the role of navMeshAgent in BeastManager.cs?,navMeshAgent is responsible for controlling the beast's movement. It is initially disabled and enabled when the beast reaches BeastSpawnOnMeshPos.
BeastManager.cs,What event is broadcasted when the beast's state changes?,LevelEventHub.BeastStateUpdate is broadcasted whenever the beast's state changes.
BeastManager.cs,How does BeastManager.cs synchronize the beast's current state with the different beast state classes?,"Through the ChangeState method, BeastManager.cs updates the CurrentState property and activates the new state while passing the previous state as an argument."
BeastManager.cs,What method is called by PowerOutageBeastReleaseManager.cs to activate the beast?,The method called by PowerOutageBeastReleaseManager.cs to activate the beast is ActivateBeast.
BeastManager.cs,What is the purpose of the LightsBackOn method in BeastManager.cs?,The LightsBackOn method is responsible for changing the beast's state to Escaping when the lights are back on.
BeastManager.cs,Is the beast active at the beginning of the scene?," ```csharp
gameObject.SetActive(false);
``` "
BeastManager.cs,What is 'BeastSleepPos' and how can one set it?," ```csharp
public static Transform BeastSleepPos {
    get => Instance._beastSleepPos;
    set {
        Instance._beastSleepPos = value;
        Instance.transform.position = value.position;
    }
}
``` "
BeastManager.cs,What is the code used in BeastManager.cs to set the initial state?," ```csharp
CurrentState = _sleepState;
``` "
BeastManager.cs,What is the method to change the beast state?," ```csharp
private void ChangeState(State state) {
    //broadcast LevelEventHub.BeastStateUpdate
    LevelEventHub.BeastStateUpdate(state);
    var temp = CurrentState.State;
    Debug.Log(state);
    //update CurrentState accordingly
    CurrentState = state switch {
        State.Sleep => _sleepState,
        State.OnTarget => _onTargetState,
        State.Roaming => _roamingState,
        State.Escaping => _scapingState,
        State.Killing => _killingState,
        _ => throw new ArgumentOutOfRangeException(nameof(state), state, null)
    };
    //activate new state and pass the previous state to it
    CurrentState.OnStateActivated(temp);
}
``` "
BeastManager.cs,What is the code used in BeastManager.cs to activate the beast?," ```csharp
[ContextMenu(""ActivateBeast"")]
public void ActivateBeast() {
    gameObject.SetActive(true);
    //manually move the beast to BeastSpawnOnMeshPos so that it can be controlled by navMeshAgent of Unity
    transform.DOMove(BeastSpawnOnMeshPos.position, 1f).OnComplete(() => {
        //when at BeastSpawnOnMeshPos, active the navMeshAgent and change the state to State.Roaming
        navMeshAgent.enabled = true;
        ChangeState(State.Roaming);
    });
}
``` "
BeastManager.cs,What is the code used in BeastManager.cs to handle the player getting killed?," ```csharp
public void KillPlayer() {
    ChangeState(State.Killing);
}
``` "
BeastManager.cs,What is the code used in BeastManager.cs to handle the lights being back on?," ```csharp
private void LightsBackOn() {
    ChangeState(State.Escaping);
}
``` "
BeastManager.cs,What events does BeastManager subscribe to?," ```csharp
private void OnEnable() {
    //subscribing (listening) to some events
    LevelEventHub.OnLightsBackOn += LightsBackOn;
}
``` "
BeastManager.cs,What events does BeastManager unsubscribe to?," ```csharp
private void OnDisable() {
    //unsubscribing to some events
    LevelEventHub.OnLightsBackOn -= LightsBackOn;
}
``` "
BeastManager.cs,What is the BeastState enum used for?," ```csharp
public enum State {
    Sleep,
    OnTarget,
    Roaming,
    RoamingOnTarget,
    Escaping,
    Killing
}
``` "
BeastState.cs,What is the purpose of the BeastState.cs class?,The BeastState.cs class is the abstract base class for the beast states. It defines a state and contains common variables and methods used by all beast states.
BeastState.cs,What is the purpose of the 'changeState' variable in BeastState.cs?,The 'changeState' variable is an action that is passed to the beast state. It allows the state to change the state of the beast.
BeastState.cs,What is the purpose of the 'player' variable in BeastState.cs?,The 'player' variable is a reference to the player's transform. It is used by the beast state to track the player's position.
BeastState.cs,What is the purpose of the 'head' variable in BeastState.cs?,The 'head' variable is a reference to the beast's head transform. It is used by the beast state to look at the player.
BeastState.cs,What is the purpose of the 'navMeshAgent' variable in BeastState.cs?,The 'navMeshAgent' variable is a reference to the beast's NavMeshAgent component. It is used by the beast state to move the beast around the environment.
BeastState.cs,What is the purpose of the 'beastTransform' variable in BeastState.cs?,The 'beastTransform' variable is a reference to the beast's transform. It is used by the beast state to access the beast's position and rotation.
BeastState.cs,What is the purpose of the 'layerMask' variable in BeastState.cs?,The 'layerMask' variable is a layer mask that is used by the beast state to ignore certain objects in the environment.
BeastState.cs,What is the purpose of the 'normalSpeed' variable in BeastState.cs?,The 'normalSpeed' variable is the normal speed of the beast. It is used by the beast state to control the beast's movement speed.
BeastState.cs,What is the purpose of the 'State' property in BeastState.cs?,The 'State' property is the current state of the beast. It is an abstract property that must be implemented by each beast state.
BeastState.cs,What is the purpose of the 'Init' method in BeastState.cs?,The 'Init' method is called when the beast state is activated. It is used to set the dependencies of the beast state.
BeastState.cs,In 'BeastState.cs' what variables are used to define the beast's rotation to look at the target?,"```csharp
var lookVector = pos - head.position;
var targetRotation = Quaternion.LookRotation(lookVector);
```"
BeastState.cs,"In 'BeastState.cs', what does OnStateActivated method do?","```csharp
public abstract void OnStateActivated(BeastManager.State lastState);
```"
BeastState.cs,"In 'BeastState.cs', what is injected with the Init method?","```csharp
public void Init(Transform beastTransform, Transform player, Transform head, NavMeshAgent navMeshAgent,
        Action<BeastManager.State> changeState, LayerMask layerMask) {

```"
BeastState.cs,"In 'BeastState.cs', what is the base class of the beast states?","```csharp
public abstract class BeastState {

```"
BeastState.cs,"In 'BeastState.cs', what is the name of the state variable?","```csharp
public abstract BeastManager.State State { get; protected set; }
```"
BeastState.cs,"In 'BeastState.cs', what is the name of the Update method?","```csharp
public abstract void Update();
```"
BeastState.cs,"In 'BeastState.cs', how is the player's position used in the lookAt method?","```csharp
LookAt(Vector3 pos) {
    //get the direction to look at (in Quaternion)
    var lookVector = pos - head.position;
```"
BeastState.cs,"In 'BeastState.cs', what is the purpose of the changeState variable?","```csharp
// ChangeState() from BeastManager is always passed as changeState, so that the state can change the state of the beast
```"
BeastState.cs,"In 'BeastState.cs', how is the lookVector used to determine the beast's target rotation?","```csharp
var targetRotation = Quaternion.LookRotation(lookVector);
```"
BeastState.cs,"In 'BeastState.cs', what is the name of the method that is called when the state is activated?","```csharp
public abstract void OnStateActivated(BeastManager.State lastState);
```"
BeastStateKilling.cs,what kind of a state is 'Killing' state?,"Killing state is the state that the beast takes over when the player's health reaches 0, during this state the beast is killing the player and is not able to move."
BeastStateKilling.cs,what\'s the purpose of '_timeLeft'?,"_timeLeft is the time that the beast has left before it moves to the Roaming state, this time starts when the killing state starts and ends cuando la animación de muerte del jugador acaba."
BeastStateKilling.cs,What does the beast do while it's in the 'Killing' state?,The beast looks at the player and does nothing.
BeastStateKilling.cs,"what does it mean when a class inherits ""BeastState""?",It means that the class implements all the methods and variables that are in the BeastState class.
BeastStateKilling.cs,how long does the killing animation last?,The killing animation lasts for \_killAnimationDuration\ seconds.
BeastStateKilling.cs,how does the beast change its state to 'Roaming'?,The beast changes its state to \'Roaming\' when the variable \'_timeLeft\' becomes less than 0.
BeastStateKilling.cs,what is the value of \'_killAnimationDuration\'?,\'_killAnimationDuration\' is 4 seconds.
BeastStateKilling.cs,what is the current state in the BeastManager?,The current state in the BeastManager is the state that is set in the \'State\' variable.
BeastStateKilling.cs,what is the value of the \'State\' variable?,The value of the \'State\' variable is BeastManager.State.Killing.
BeastStateKilling.cs,when does 'beast' call the 'LookAt' function?,The \'beast\' calls the \'LookAt\' function in the \'Update\' method.
BeastStateKilling.cs,How long does the beast take to kill the player?,"```csharp
private float _killAnimationDuration = 4f;
```"
BeastStateKilling.cs,What is the code used to make the beast look at the player in 'BeastStateKilling.cs'?,"```csharp
LookAt(player.position);
```"
BeastStateKilling.cs,How does the Beast change it's state in 'BeastStateKilling.cs'?,"```csharp
changeState(BeastManager.State.Roaming);
```"
BeastStateKilling.cs,What is the name of the variable that holds the time left for the killing animation in 'BeastStateKilling.cs'?,"```csharp
private float _timeLeft;
```"
BeastStateKilling.cs,How does the Beast reset its path in 'BeastStateKilling.cs'?,"```csharp
navMeshAgent.ResetPath();
```"
BeastStateKilling.cs,What does the Beast do when it's in the killing state?,"```csharp
// look at the player and do nothing, then change state to roaming
```"
BeastStateKilling.cs,What is the duration of the killing animation?,"```csharp
private float _killAnimationDuration = 4f;
```"
BeastStateKilling.cs,What is the name of the function that is called when the state is activated?,"```csharp
public override void OnStateActivated(BeastManager.State lastState) {
    // reset some variables 
    navMeshAgent.speed = normalSpeed;
    _timeLeft = _killAnimationDuration;
    navMeshAgent.ResetPath();
}
```"
BeastStateKilling.cs,What is the name of the private variable that holds the normal speed of the beast?,"```csharp
private float normalSpeed;
```"
BeastStateKilling.cs,What is the name of the function that is called every frame while the beast is in the killing state?,"```csharp
public override void Update() {
    // look at the player and do nothing, then change state to roaming
    LookAt(player.position);
    _timeLeft -= Time.deltaTime;
    if (_timeLeft < 0) {
        changeState(BeastManager.State.Roaming);
    }
}
```"
BeastStateOnTarget.cs,What does the BeastStateOnTarget class represent in the Beast state machine?,"The BeastStateOnTarget class represents the state in which the beast is actively chasing a target, specifically the player."
BeastStateOnTarget.cs,What is the purpose of the eyeSightDistance field in the BeastStateOnTarget class?,The eyeSightDistance field specifies the maximum distance at which the beast can see the player.
BeastStateOnTarget.cs,What is the purpose of the distanceToPlayerThatBeastRuns field in the BeastStateOnTarget class?,The distanceToPlayerThatBeastRuns field determines the distance at which the beast starts running towards the player.
BeastStateOnTarget.cs,What is the purpose of the beastAttack field in the BeastStateOnTarget class?,"The beastAttack field is a reference to the BeastAttack component, which manages the beast's attacks."
BeastStateOnTarget.cs,What is the purpose of the State property in the BeastStateOnTarget class?,"The State property represents the current state of the beast, which in this case is BeastManager.State.OnTarget."
BeastStateOnTarget.cs,What does the _lastValidPath variable represent in the BeastStateOnTarget class?,The _lastValidPath variable stores the most recent valid path generated by the navigation mesh agent towards the player.
BeastStateOnTarget.cs,What happens if the CalculatePath method returns an invalid path?,"If the CalculatePath method returns an invalid path, the BeastStateOnTarget class will use the last valid path as a fallback."
BeastStateOnTarget.cs,What is the purpose of the Update method in the BeastStateOnTarget class?,"The Update method handles the behavior of the beast while it is in the OnTarget state. It checks if the player is in sight, pursues the player if visible, and transitions to the Roaming state if the player is not visible."
BeastStateOnTarget.cs,What is the purpose of the CheckForPlayerInSight method in the BeastStateOnTarget class?,The CheckForPlayerInSight method determines if the player is within the beast's line of sight.
BeastStateOnTarget.cs,What is the purpose of the OnStateActivated method in the BeastStateOnTarget class?,The OnStateActivated method is called when the BeastStateOnTarget is first activated. It performs a sanity check on the normalSpeed field to ensure it has a valid value.
BeastStateOnTarget.cs,"In the 'BeastStateOnTarget' state, if the player is not in sight, what is the condition for the beast to change to the 'Roaming' state?"," ```csharp
//player is not in sight, change state to roaming state
changeState(BeastManager.State.Roaming);
``` "
BeastStateOnTarget.cs,"In 'BeastStateOnTarget', what is the formula to calculate the direction that the beast should look at to see the player?"," ```csharp
Vector3 direction = (player.position - new Vector3(0, 0.5f, 0)) - beastTransform.position;
``` "
BeastStateOnTarget.cs,What is the name of the state that the beast will transition to if the player is not in sight?," ```csharp
changeState(BeastManager.State.Roaming);
``` "
BeastStateOnTarget.cs,"In 'BeastStateOnTarget', under what condition will the beast run at the player?"," ```csharp
if (navMeshAgent.remainingDistance > distanceToPlayerThatBeastRuns)
    navMeshAgent.speed = Constants.BeastFastSpeed;
else navMeshAgent.speed = normalSpeed;
``` "
BeastStateOnTarget.cs,"When checking if the player is in sight, what is the distance that the raycast is shot out to?"," ```csharp
if (Physics.Raycast(beastTransform.position, direction, out hit, eyeSightDistance, layerMask)) {
  if (hit.collider.CompareTag(""Player"")) {
    return true;
  }
}
``` "
BeastStateOnTarget.cs,"In 'BeastStateOnTarget', how does the beast determine if the player is in its line of sight?"," ```csharp
Vector3 direction = (player.position - new Vector3(0, 0.5f, 0)) - beastTransform.position;
if (Physics.Raycast(beastTransform.position, direction, out hit, eyeSightDistance, layerMask)) {
  if (hit.collider.CompareTag(""Player"")) {
    return true;
  }
}
``` "
BeastStateOnTarget.cs,"In 'BeastStateOnTarget', how is the beast's speed determined?"," ```csharp
if (navMeshAgent.remainingDistance > distanceToPlayerThatBeastRuns)
    navMeshAgent.speed = Constants.BeastFastSpeed;
else navMeshAgent.speed = normalSpeed;
``` "
BeastStateOnTarget.cs,"In 'BeastStateOnTarget', how does the beast look at the player?"," ```csharp
LookAt(player.position);
``` "
BeastStateOnTarget.cs,"In 'BeastStateOnTarget', how does the beast determine if the path to the player is valid?"," ```csharp
NavMeshPath path = new NavMeshPath();
var isPathValid = navMeshAgent.CalculatePath(player.position, path);
if (isPathValid) {
    _lastValidPath = path;
}
else if (_lastValidPath != null) {
    path = _lastValidPath;
}
``` "
BeastStateOnTarget.cs,"In 'BeastStateOnTarget', how does the beast set the path to the player?"," ```csharp
navMeshAgent.SetPath(path);
``` "
BeastStateRoaming.cs,"In the BeastStateRoaming class, what is the purpose of the 'walkHearRadius' and 'runHearRadius' fields?","These fields determine the radius at which the beast can hear player footsteps. If the player is within the walkHearRadius, the beast can hear them walking. If the player is within the runHearRadius, the beast can hear them running."
BeastStateRoaming.cs,"In the BeastStateRoaming class, what does the 'CheckForPlayerInSight()' method do?","This method checks if the player is in the beast's line of sight. It casts a ray from the beast to the player and checks if it hits the player's collider. If the ray hits the player's collider and the angle between the direction to the player and the beast's forward direction is less than 'detectionAngle', then the player is in the beast's line of sight."
BeastStateRoaming.cs,"In the BeastStateRoaming class, what is the purpose of the 'detectionAngle' field?","This field determines the angle at which the beast can see players. If the player is within the beast's line of sight and the angle between the direction to the player and the beast's forward direction is less than 'detectionAngle', then the player is in the beast's field of view."
BeastStateRoaming.cs,"In the BeastStateRoaming class, what does the 'OnStateActivated()' method do?","This method is called when the beast enters the Roaming state. If the previous state was not the OnTarget state, the beast updates its destination to a new roaming position. If the previous state was the OnTarget state, the beast updates its destination to the player's last seen position and enters the RoamingOnTarget sub-state."
BeastStateRoaming.cs,"In the BeastStateRoaming class, what is the purpose of the '_currentPoint' and '_currentPointIndex' fields?","These fields keep track of the beast's current roaming position. '_currentPoint' stores the position of the current roaming point, and '_currentPointIndex' stores the index of the current roaming point in the 'BeastRoamingPositions' array."
BeastStateRoaming.cs,"In the BeastStateRoaming class, what does the 'UpdateDestination()' method do?","This method is called when a new roaming position is needed. It resets the 'detectionAngle' to 45 degrees, updates the '_currentPoint' and '_currentPointIndex' fields to the next roaming position in the 'BeastRoamingPositions' array, and sends an event to update and broadcast the beast's state."
BeastStateRoaming.cs,"In the BeastStateRoaming class, what is the purpose of the 'Update()' method?","This method is called every frame while the beast is in the Roaming state. It checks if the player is in sight or making sound, and if so, it changes the beast's state accordingly. It also checks if the beast has reached its current roaming point, and if so, it updates its destination to a new roaming point."
BeastStateRoaming.cs,"In the BeastStateRoaming class, what does the 'CheckForPlayerFootstepSound()' method do?","This method checks if the player is making sound. It checks the player's speed and the distance between the player and the beast. If the player is walking or running and is within the 'walkHearRadius' or 'runHearRadius', then the player is making sound."
BeastStateRoaming.cs,"In the BeastStateRoaming class, what is the purpose of the 'eyeSightDistance' field?","This field determines the distance at which the beast can see players. If the player is within this distance, the beast can see them."
BeastStateRoaming.cs,"In the BeastStateRoaming class, what is the purpose of the 'State' field?","This field stores the current state of the beast. It is of type 'BeastManager.State', which is an enum that defines the different states that the beast can be in."
BeastStateRoaming.cs,What is the name of the class implementing the state when the beast is roaming?," ```csharp
public class BeastStateRoaming : BeastState {
    [SerializeField] private float walkHearRadius = 5f;
    [SerializeField] private float runHearRadius = 10f;
    [SerializeField] private float eyeSightDistance;
    private float detectionAngle = 45f;
    private Vector3 _currentPoint;
    private int _currentPointIndex;
    public override BeastManager.State State { get; protected set; } = BeastManager.State.Roaming;

    //check for player in sight or player making sound, if no keep roaming
    public override void Update() {
        //...
    }

    //check if the player is the beasts hear radius
    private bool CheckForSoundProximity(float hearRadius) {
        //...
    }

    //check if the player is in the beasts line of sight
    private bool CheckForPlayerInSight() {
        //...
    }

    //state is just activated - set correct roaming position
    public override void OnStateActivated(BeastManager.State lastState) {
        //...
    }

    //called when new roaming position is needed
    private void UpdateDestination() {
        //...
    }

}
``` "
BeastStateRoaming.cs,"In the 'BeastStateRoaming' class, how does the beast check if the player is in sight?"," ```csharp
private bool CheckForPlayerInSight() {
        //calculate the direction to look at (from beast to player) (player position - beast position)
        RaycastHit hit;
        Vector3 direction = (player.position - new Vector3(0, 0.5f, 0)) - beastTransform.position;

        //...

        //raycast to find the player
        if (Physics.Raycast(beastTransform.position, direction, out hit, eyeSightDistance, layerMask)) {
            //check if what the ray hit is the player
            if (hit.collider.CompareTag(""Player"")) {
                //check if the player is also in the beasts field of view
                var angle = Vector3.Angle(direction, beastTransform.forward);

                //...

                if (angle < detectionAngle) {
                    //player is insight and in the beasts field of view
                    Debug.Log(""beast saw player"");
                    return true;
                }
            }
        }

        //player is not in sight or not in the beasts field of view
        return false;
    }
``` "
BeastStateRoaming.cs,"In 'BeastStateRoaming' class, what is the function used to check if the player is making a sound?"," ```csharp
private bool CheckForPlayerFootstepSound() {
        switch (FirstPersonController.PlayerSpeed) {
            case <= Constants.PlayerSpeedCrouch:
                //player is crouching, beast cant hear it
                return false;
            case < Constants.PlayerSpeedRun:
                //player is walking
                return CheckForSoundProximity(walkHearRadius);
            default:
                //player is running
                return CheckForSoundProximity(runHearRadius);
        }
    }

    //check if the player is the beasts hear radius
    private bool CheckForSoundProximity(float hearRadius) {
        //...
    }
``` "
BeastStateRoaming.cs,"In 'BeastStateRoaming' class, what is the function called when the state is just activated?"," ```csharp
public override void OnStateActivated(BeastManager.State lastState) {
        //...
    }
``` "
BeastStateRoaming.cs,"In 'BeastStateRoaming' class, how does the beast calculate the distance between the player and the beast?"," ```csharp
private bool CheckForSoundProximity(float hearRadius) {
        var distance = Vector3.Distance(beastTransform.position, player.position);
``` "
BeastStateRoaming.cs,How does 'BeastStateRoaming' class set the beast's destination to the current roaming position?," ```csharp
//set the navMeshAgent destination to the current roaming point
navMeshAgent.SetDestination(_currentPoint);
``` "
BeastStateRoaming.cs,"In 'BeastStateRoaming' class, how does the beast check if it has reached the current roaming point?"," ```csharp
if (navMeshAgent.velocity == Vector3.zero && navMeshAgent.remainingDistance < 5f) {
            //beast reached the current roaming point, get a new roaming point
            Debug.Log(""beast new roaming position"");
            UpdateDestination();
        }
``` "
BeastStateRoaming.cs,"In 'BeastStateRoaming' class, what is the name of the function responsible for finding a new roaming position for the beast?"," ```csharp
private void UpdateDestination() {
        //...
    }
``` "
BeastStateRoaming.cs,"In 'BeastStateRoaming' class, what is the value of the 'walkHearRadius' field?"," ```csharp
private float walkHearRadius = 5f;
``` "
BeastStateRoaming.cs,"In 'BeastStateRoaming' class, what is the value of the 'runHearRadius' field?"," ```csharp
private float runHearRadius = 10f;
``` "
BeastStateScaping.cs,What is the purpose of the BeastStateScaping.cs class?,"The BeastStateScaping.cs class represents the escaping state of the Beast. In this state, the Beast is trying to escape to its hiding place. Once it reaches its hiding place, it will enter the sleep state."
BeastStateScaping.cs,What is the State variable in the BeastStateScaping.cs class?,"The State variable in the BeastStateScaping.cs class represents the current state of the Beast. In this case, it is set to BeastManager.State.Escaping, indicating that the Beast is in the escaping state."
BeastStateScaping.cs,What is the Update() method in the BeastStateScaping.cs class responsible for?,The Update() method in the BeastStateScaping.cs class is responsible for updating the state of the Beast. It checks if the Beast has reached its hiding place and sets the destination and speed of the Beast's navigation agent accordingly.
BeastStateScaping.cs,What happens when the Beast reaches its hiding place in the BeastStateScaping.cs class?,"When the Beast reaches its hiding place in the BeastStateScaping.cs class, it changes its state to BeastManager.State.Sleep, indicating that it has entered the sleep state."
BeastStateScaping.cs,What is the purpose of the OnStateActivated() method in the BeastStateScaping.cs class?,The OnStateActivated() method in the BeastStateScaping.cs class is called when the escaping state is first activated. It sets the destination and speed of the Beast's navigation agent to make it run towards its hiding place.
BeastStateScaping.cs,What is the BeastSpawnOnMeshPos variable in the BeastStateScaping.cs class?,The BeastSpawnOnMeshPos variable in the BeastStateScaping.cs class represents the position on the navigation mesh where the Beast spawns. This is typically near the Beast's hiding place.
BeastStateScaping.cs,What does the Constants.BeastFastSpeed represent in the BeastStateScaping.cs class?,The Constants.BeastFastSpeed in the BeastStateScaping.cs class is the speed at which the Beast runs when it is trying to escape to its hiding place.
BeastStateScaping.cs,What is the purpose of the navMeshAgent.SetDestination() method in the BeastStateScaping.cs class?,The navMeshAgent.SetDestination() method in the BeastStateScaping.cs class sets the destination for the Beast's navigation agent. This is used to make the Beast move towards its hiding place.
BeastStateScaping.cs,What is the navMeshAgent.speed property in the BeastStateScaping.cs class used for?,The navMeshAgent.speed property in the BeastStateScaping.cs class is used to set the speed at which the Beast moves. This is typically set to a faster speed when the Beast is escaping to its hiding place.
BeastStateScaping.cs,What is the purpose of the changeState(BeastManager.State.Sleep) method in the BeastStateScaping.cs class?,The changeState(BeastManager.State.Sleep) method in the BeastStateScaping.cs class is used to change the Beast's state to the sleep state. This is called when the Beast reaches its hiding place.
BeastStateScaping.cs,What is the state of the Beast after it escapes from the player?," ```csharp
//beast reached its hideout, change state to sleep
changeState(BeastManager.State.Sleep);
``` "
BeastStateScaping.cs,What is the condition for the beast to switch to the Sleep state after escaping?," ```csharp
if (navMeshAgent.remainingDistance < 3.1f) {
    //beast reached its hideout, change state to sleep
    changeState(BeastManager.State.Sleep);
    return;
}
``` "
BeastStateScaping.cs,"In the BeastStateScaping class, What is the navMeshAgent set to when the state is activated?"," ```csharp
navMeshAgent.SetDestination(BeastManager.BeastSpawnOnMeshPos.position);
navMeshAgent.speed = Constants.BeastFastSpeed;
``` "
